"","ID","test","order","subjective","objective","decision_time","accuracy"
"1","CT","reading_comprehension",1,"ON","ON",3890,1
"2","CT","reading_comprehension",1,"ON","ON",2290,1
"3","CT","reading_comprehension",1,"ON","ON",4310,1
"4","CT","reading_comprehension",1,"ON","ON",3670,1
"5","CT","reading_comprehension",1,"ON","ON",9970,0
"6","CT","reading_comprehension",1,"ON","ON",6570,0
"7","CT","reading_comprehension",1,"ON","ON",5380,1
"8","CT","reading_comprehension",1,"ON","ON",3570,1
"9","CT","reading_comprehension",1,"ON","ON",1940,1
"10","CT","reading_comprehension",1,"ON","ON",3140,1
"11","CT","reading_comprehension",1,"ON","ON",3280,1
"12","CT","reading_comprehension",1,"ON","ON",1500,1
"13","CT","reading_comprehension",1,"ON","ON",3390,1
"14","CT","reading_comprehension",1,"ON","ON",11440,0
"15","CT","reading_comprehension",2,"OFF","ON",2510,0
"16","CT","reading_comprehension",2,"OFF","ON",5790,1
"17","CT","reading_comprehension",2,"OFF","ON",1940,1
"18","CT","reading_comprehension",2,"OFF","ON",3640,1
"19","CT","reading_comprehension",2,"OFF","ON",3540,1
"20","CT","reading_comprehension",2,"OFF","ON",2930,1
"21","CT","reading_comprehension",2,"OFF","ON",4550,0
"22","CT","reading_comprehension",2,"OFF","ON",980,1
"23","CT","reading_comprehension",2,"OFF","ON",4580,1
"24","CT","reading_comprehension",2,"OFF","ON",5760,1
"25","CT","reading_comprehension",2,"OFF","ON",4900,1
"26","CT","reading_comprehension",2,"OFF","ON",3930,1
"27","CT","reading_comprehension",2,"OFF","ON",4460,0
"28","CT","reading_comprehension",2,"OFF","ON",10700,0
"29","CT","reading_comprehension",3,"OFF","OFF",3430,1
"30","CT","reading_comprehension",3,"OFF","OFF",15170,0
"31","CT","reading_comprehension",3,"OFF","OFF",4600,1
"32","CT","reading_comprehension",3,"OFF","OFF",3390,1
"33","CT","reading_comprehension",3,"OFF","OFF",3760,1
"34","CT","reading_comprehension",3,"OFF","OFF",3060,1
"35","CT","reading_comprehension",3,"OFF","OFF",7200,0
"36","CT","reading_comprehension",3,"OFF","OFF",1720,1
"37","CT","reading_comprehension",3,"OFF","OFF",3010,1
"38","CT","reading_comprehension",3,"OFF","OFF",13100,1
"39","CT","reading_comprehension",3,"OFF","OFF",7460,1
"40","CT","reading_comprehension",3,"OFF","OFF",2300,0
"41","CT","reading_comprehension",3,"OFF","OFF",4240,0
"42","CT","reading_comprehension",3,"OFF","OFF",1330,1
"43","CT","reading_comprehension",4,"ON","OFF",3470,1
"44","CT","reading_comprehension",4,"ON","OFF",3570,1
"45","CT","reading_comprehension",4,"ON","OFF",3540,1
"46","CT","reading_comprehension",4,"ON","OFF",11170,0
"47","CT","reading_comprehension",4,"ON","OFF",3290,1
"48","CT","reading_comprehension",4,"ON","OFF",1940,1
"49","CT","reading_comprehension",4,"ON","OFF",4930,1
"50","CT","reading_comprehension",4,"ON","OFF",2200,1
"51","CT","reading_comprehension",4,"ON","OFF",3200,1
"52","CT","reading_comprehension",4,"ON","OFF",4830,1
"53","CT","reading_comprehension",4,"ON","OFF",3830,1
"54","CT","reading_comprehension",4,"ON","OFF",6040,1
"55","CT","reading_comprehension",4,"ON","OFF",930,0
"56","CT","reading_comprehension",4,"ON","OFF",2600,0
"57","CT","reading_comprehension",5,"OFF","ON",3360,1
"58","CT","reading_comprehension",5,"OFF","ON",6800,0
"59","CT","reading_comprehension",5,"OFF","ON",5600,1
"60","CT","reading_comprehension",5,"OFF","ON",1490,1
"61","CT","reading_comprehension",5,"OFF","ON",3440,1
"62","CT","reading_comprehension",5,"OFF","ON",2040,1
"63","CT","reading_comprehension",5,"OFF","ON",3360,1
"64","CT","reading_comprehension",5,"OFF","ON",8520,0
"65","CT","reading_comprehension",5,"OFF","ON",2860,1
"66","CT","reading_comprehension",5,"OFF","ON",4000,1
"67","CT","reading_comprehension",5,"OFF","ON",4870,1
"68","CT","reading_comprehension",5,"OFF","ON",4800,0
"69","CT","reading_comprehension",5,"OFF","ON",1230,1
"70","CT","reading_comprehension",5,"OFF","ON",4550,0
"71","CT","reading_comprehension",6,"ON","ON",4000,1
"72","CT","reading_comprehension",6,"ON","ON",2570,1
"73","CT","reading_comprehension",6,"ON","ON",3470,1
"74","CT","reading_comprehension",6,"ON","ON",2440,1
"75","CT","reading_comprehension",6,"ON","ON",6160,1
"76","CT","reading_comprehension",6,"ON","ON",4660,1
"77","CT","reading_comprehension",6,"ON","ON",1270,1
"78","CT","reading_comprehension",6,"ON","ON",3440,1
"79","CT","reading_comprehension",6,"ON","ON",3540,1
"80","CT","reading_comprehension",6,"ON","ON",1420,1
"81","CT","reading_comprehension",6,"ON","ON",2730,1
"82","CT","reading_comprehension",6,"ON","ON",1660,1
"83","CT","reading_comprehension",6,"ON","ON",5330,0
"84","CT","reading_comprehension",6,"ON","ON",4090,0
"85","CT","reading_comprehension",7,"ON","OFF",3970,1
"86","CT","reading_comprehension",7,"ON","OFF",2500,0
"87","CT","reading_comprehension",7,"ON","OFF",3900,1
"88","CT","reading_comprehension",7,"ON","OFF",3800,1
"89","CT","reading_comprehension",7,"ON","OFF",1370,1
"90","CT","reading_comprehension",7,"ON","OFF",1930,0
"91","CT","reading_comprehension",7,"ON","OFF",1520,1
"92","CT","reading_comprehension",7,"ON","OFF",2600,1
"93","CT","reading_comprehension",7,"ON","OFF",1960,1
"94","CT","reading_comprehension",7,"ON","OFF",2170,1
"95","CT","reading_comprehension",7,"ON","OFF",1570,1
"96","CT","reading_comprehension",7,"ON","OFF",4540,1
"97","CT","reading_comprehension",7,"ON","OFF",2870,1
"98","CT","reading_comprehension",7,"ON","OFF",2880,0
"99","CT","reading_comprehension",8,"OFF","OFF",2430,1
"100","CT","reading_comprehension",8,"OFF","OFF",2400,1
"101","CT","reading_comprehension",8,"OFF","OFF",4360,1
"102","CT","reading_comprehension",8,"OFF","OFF",2070,0
"103","CT","reading_comprehension",8,"OFF","OFF",3010,1
"104","CT","reading_comprehension",8,"OFF","OFF",4080,1
"105","CT","reading_comprehension",8,"OFF","OFF",5360,1
"106","CT","reading_comprehension",8,"OFF","OFF",2550,1
"107","CT","reading_comprehension",8,"OFF","OFF",3440,0
"108","CT","reading_comprehension",8,"OFF","OFF",1970,1
"109","CT","reading_comprehension",8,"OFF","OFF",1910,1
"110","CT","reading_comprehension",8,"OFF","OFF",4670,1
"111","CT","reading_comprehension",8,"OFF","OFF",4370,1
"112","CT","reading_comprehension",8,"OFF","OFF",3790,1
"113","FAP","reading_comprehension",1,"OFF","OFF",1780,1
"114","FAP","reading_comprehension",1,"OFF","OFF",7400,1
"115","FAP","reading_comprehension",1,"OFF","OFF",2350,1
"116","FAP","reading_comprehension",1,"OFF","OFF",3520,1
"117","FAP","reading_comprehension",1,"OFF","OFF",3610,1
"118","FAP","reading_comprehension",1,"OFF","OFF",4790,0
"119","FAP","reading_comprehension",1,"OFF","OFF",3120,1
"120","FAP","reading_comprehension",1,"OFF","OFF",1310,1
"121","FAP","reading_comprehension",1,"OFF","OFF",2080,1
"122","FAP","reading_comprehension",1,"OFF","OFF",1570,1
"123","FAP","reading_comprehension",1,"OFF","OFF",1540,1
"124","FAP","reading_comprehension",1,"OFF","OFF",2040,1
"125","FAP","reading_comprehension",1,"OFF","OFF",16920,0
"126","FAP","reading_comprehension",1,"OFF","OFF",13700,0
"127","FAP","reading_comprehension",2,"ON","OFF",1490,1
"128","FAP","reading_comprehension",2,"ON","OFF",3000,0
"129","FAP","reading_comprehension",2,"ON","OFF",2080,1
"130","FAP","reading_comprehension",2,"ON","OFF",3150,0
"131","FAP","reading_comprehension",2,"ON","OFF",2050,1
"132","FAP","reading_comprehension",2,"ON","OFF",1070,1
"133","FAP","reading_comprehension",2,"ON","OFF",1370,1
"134","FAP","reading_comprehension",2,"ON","OFF",1900,1
"135","FAP","reading_comprehension",2,"ON","OFF",7850,1
"136","FAP","reading_comprehension",2,"ON","OFF",2370,1
"137","FAP","reading_comprehension",2,"ON","OFF",2500,1
"138","FAP","reading_comprehension",2,"ON","OFF",3950,1
"139","FAP","reading_comprehension",2,"ON","OFF",1740,1
"140","FAP","reading_comprehension",2,"ON","OFF",7600,1
"141","FAP","reading_comprehension",3,"ON","ON",1070,1
"142","FAP","reading_comprehension",3,"ON","ON",1470,1
"143","FAP","reading_comprehension",3,"ON","ON",3430,0
"144","FAP","reading_comprehension",3,"ON","ON",2280,1
"145","FAP","reading_comprehension",3,"ON","ON",1340,1
"146","FAP","reading_comprehension",3,"ON","ON",2010,0
"147","FAP","reading_comprehension",3,"ON","ON",1620,1
"148","FAP","reading_comprehension",3,"ON","ON",1620,1
"149","FAP","reading_comprehension",3,"ON","ON",2990,1
"150","FAP","reading_comprehension",3,"ON","ON",1780,1
"151","FAP","reading_comprehension",3,"ON","ON",2150,1
"152","FAP","reading_comprehension",3,"ON","ON",1550,1
"153","FAP","reading_comprehension",3,"ON","ON",5790,1
"154","FAP","reading_comprehension",3,"ON","ON",3520,1
"155","FAP","reading_comprehension",4,"OFF","ON",4590,1
"156","FAP","reading_comprehension",4,"OFF","ON",2410,0
"157","FAP","reading_comprehension",4,"OFF","ON",860,1
"158","FAP","reading_comprehension",4,"OFF","ON",3370,1
"159","FAP","reading_comprehension",4,"OFF","ON",4930,1
"160","FAP","reading_comprehension",4,"OFF","ON",5060,1
"161","FAP","reading_comprehension",4,"OFF","ON",1910,1
"162","FAP","reading_comprehension",4,"OFF","ON",4470,0
"163","FAP","reading_comprehension",4,"OFF","ON",1380,1
"164","FAP","reading_comprehension",4,"OFF","ON",13200,0
"165","FAP","reading_comprehension",4,"OFF","ON",3920,1
"166","FAP","reading_comprehension",4,"OFF","ON",1210,1
"167","FAP","reading_comprehension",4,"OFF","ON",2910,1
"168","FAP","reading_comprehension",4,"OFF","ON",1280,0
"169","FAP","reading_comprehension",5,"ON","OFF",1400,1
"170","FAP","reading_comprehension",5,"ON","OFF",1410,1
"171","FAP","reading_comprehension",5,"ON","OFF",3560,1
"172","FAP","reading_comprehension",5,"ON","OFF",1230,1
"173","FAP","reading_comprehension",5,"ON","OFF",840,1
"174","FAP","reading_comprehension",5,"ON","OFF",1390,1
"175","FAP","reading_comprehension",5,"ON","OFF",1330,1
"176","FAP","reading_comprehension",5,"ON","OFF",4560,0
"177","FAP","reading_comprehension",5,"ON","OFF",3200,1
"178","FAP","reading_comprehension",5,"ON","OFF",1120,0
"179","FAP","reading_comprehension",5,"ON","OFF",8830,0
"180","FAP","reading_comprehension",5,"ON","OFF",2560,1
"181","FAP","reading_comprehension",5,"ON","OFF",1600,0
"182","FAP","reading_comprehension",5,"ON","OFF",8560,0
"183","FAP","reading_comprehension",6,"OFF","OFF",2310,0
"184","FAP","reading_comprehension",6,"OFF","OFF",1500,1
"185","FAP","reading_comprehension",6,"OFF","OFF",9480,0
"186","FAP","reading_comprehension",6,"OFF","OFF",3060,1
"187","FAP","reading_comprehension",6,"OFF","OFF",5700,0
"188","FAP","reading_comprehension",6,"OFF","OFF",800,1
"189","FAP","reading_comprehension",6,"OFF","OFF",1470,1
"190","FAP","reading_comprehension",6,"OFF","OFF",780,0
"191","FAP","reading_comprehension",6,"OFF","OFF",3490,1
"192","FAP","reading_comprehension",6,"OFF","OFF",1440,1
"193","FAP","reading_comprehension",6,"OFF","OFF",1840,1
"194","FAP","reading_comprehension",6,"OFF","OFF",2410,1
"195","FAP","reading_comprehension",6,"OFF","OFF",3790,1
"196","FAP","reading_comprehension",6,"OFF","OFF",1960,0
"197","FAP","reading_comprehension",7,"OFF","ON",1810,1
"198","FAP","reading_comprehension",7,"OFF","ON",2010,1
"199","FAP","reading_comprehension",7,"OFF","ON",1760,1
